iter	Passed	Remaining
0	14	14639
1	15	7785
2	16	5441
3	17	4271
4	17	3562
5	18	3092
6	19	2754
7	20	2499
8	21	2314
9	21	2152
10	22	2031
11	24	2039
12	26	2020
13	27	1937
14	28	1863
15	29	1799
16	30	1736
17	30	1680
18	31	1639
19	32	1598
20	33	1557
21	34	1527
22	35	1498
23	36	1467
24	37	1446
25	47	1776
26	48	1736
27	49	1705
28	49	1669
29	50	1638
30	51	1611
31	52	1587
32	53	1560
33	55	1582
34	57	1578
35	58	1557
36	58	1534
37	59	1513
38	60	1495
39	61	1476
40	62	1458
41	63	1441
42	64	1425
43	64	1410
44	65	1396
45	66	1382
46	68	1383
47	69	1388
48	70	1375
49	71	1361
50	72	1348
51	73	1335
52	74	1326
53	75	1314
54	75	1304
55	76	1296
56	77	1289
57	78	1277
58	79	1267
59	80	1258
60	81	1250
61	82	1250
62	84	1250
63	84	1242
64	85	1232
65	86	1224
66	87	1216
67	88	1208
68	89	1201
69	89	1195
70	90	1187
71	91	1179
72	92	1173
73	93	1167
74	94	1160
75	94	1154
76	95	1146
77	96	1140
78	99	1156
79	100	1156
80	101	1151
81	102	1145
82	102	1134
83	103	1128
84	104	1122
85	105	1118
86	106	1114
87	107	1108
88	107	1103
89	108	1096
90	109	1091
91	109	1085
92	110	1079
93	112	1085
94	114	1095
95	116	1093
96	116	1089
97	117	1083
98	118	1078
99	119	1072
100	119	1067
101	120	1063
102	121	1058
103	122	1053
104	122	1048
105	123	1042
106	124	1040
107	125	1034
108	126	1032
109	127	1034
110	128	1032
111	129	1027
112	130	1022
113	130	1017
114	131	1012
115	132	1007
116	132	1001
117	133	996
118	134	992
119	134	987
120	135	982
121	135	977
122	136	973
123	137	968
124	137	964
125	138	960
126	138	955
127	139	951
128	140	948
129	143	958
130	144	958
131	145	955
132	145	951
133	146	947
134	147	943
135	147	939
136	148	935
137	149	932
138	149	929
139	150	925
140	151	921
141	151	917
142	152	913
143	153	910
144	153	907
145	154	903
146	155	900
147	157	904
148	159	908
149	159	905
150	160	903
151	161	901
152	162	898
153	162	895
154	163	892
155	164	889
156	165	886
157	165	883
158	166	880
159	167	877
160	167	873
161	168	870
162	168	867
163	169	864
164	170	861
165	171	861
166	172	860
167	173	857
168	173	854
169	174	851
170	175	849
171	175	846
172	176	843
173	177	841
174	177	838
175	178	835
176	179	833
177	179	830
178	180	828
179	181	825
180	181	823
181	182	820
182	183	818
183	184	816
184	184	813
185	186	815
186	187	816
187	188	815
188	189	813
189	190	811
190	190	808
191	191	807
192	192	806
193	193	804
194	194	802
195	194	799
196	195	797
197	196	795
198	197	793
199	197	790
200	198	788
201	199	786
202	200	788
203	202	789
204	203	789
205	204	787
206	204	784
207	205	782
208	206	780
209	206	778
210	207	775
211	208	773
212	208	771
213	209	768
214	209	766
215	210	764
216	211	762
217	211	759
218	213	762
219	215	764
220	216	763
221	217	761
222	218	761
223	219	759
224	219	757
225	220	755
226	221	753
227	221	751
228	222	749
229	223	747
230	223	745
231	224	743
232	225	741
233	225	739
234	226	737
235	227	736
236	230	740
237	231	740
238	231	738
239	232	736
240	233	734
241	233	732
242	234	730
243	235	729
244	236	727
245	236	725
246	237	723
247	238	721
248	238	719
249	239	718
250	240	716
251	240	714
252	241	712
253	242	711
254	244	713
255	245	714
256	246	712
257	247	710
258	247	709
259	248	707
260	249	705
261	249	704
262	250	702
263	251	700
264	251	698
265	252	697
266	253	695
267	253	693
268	254	691
269	255	690
270	256	688
271	256	687
272	258	687
273	259	686
274	259	685
275	260	683
276	261	682
277	262	680
278	262	679
279	264	679
280	265	678
281	265	676
282	266	675
283	267	674
284	268	674
285	269	673
286	270	672
287	271	670
288	274	674
289	275	675
290	277	674
291	277	673
292	278	672
293	279	670
294	280	669
295	280	667
296	281	667
297	282	666
298	283	665
299	284	664
300	285	662
301	289	669
302	291	669
303	293	670
304	293	669
305	294	668
306	295	666
307	296	665
